tradition_id,name_cn,name_en,family,branch,term,gloss_cn,gloss_en,vector,mapping_note_cn
advaita_vedanta,不二论吠檀多,Advaita Vedanta,Indic,Vedanta,Brahman,梵／终极实在,ultimate reality,K.REGULARITY=0.25000000;K.WORLD_MODEL=0.33333333;P.COMMUNION=0.25000000;W.MEANING=0.16666667,归一为终极世界模型、真理主张、意义与非二关系实现。
advaita_vedanta,不二论吠檀多,Advaita Vedanta,Indic,Vedanta,Ātman,自我／真我,Self,D.OBSERVATION=0.10000000;K.SELF_MODEL=0.40000000;P.COMMUNION=0.30000000;W.MEANING=0.20000000,归一为主体模型及其与整体关系的认识目的。
advaita_vedanta,不二论吠檀多,Advaita Vedanta,Indic,Vedanta,mokṣa,解脱,liberation,K.META=0.20000000;P.LIBERATION=0.50000000;P.VERIFICATION=0.20000000;W.MEANING=0.10000000,归一为通过辨识和实践实现的解脱目的。
advaita_vedanta,不二论吠檀多,Advaita Vedanta,Indic,Vedanta,māyā/avidyā,幻相／无明,appearance and ignorance,I.CONTEXT=0.20000000;K.META=0.40000000;K.SELF_MODEL=0.20000000;W.CONSEQUENCE=0.20000000,归一为语境化显现、误识与模型修订问题。
visishtadvaita,限定不二论吠檀多,Viśiṣṭādvaita Vedanta,Indic,Vedanta,Brahman/Nārāyaṇa,人格性最高实在,personal supreme reality,K.REGULARITY=0.16666667;K.WORLD_MODEL=0.25000000;P.COMMUNION=0.33333333;W.MEANING=0.16666667;W.NORM=0.08333333,归一为人格性终极世界模型及关系实现。
visishtadvaita,限定不二论吠檀多,Viśiṣṭādvaita Vedanta,Indic,Vedanta,cit-acit-īśvara,有情、无情与主宰关系,"sentient, insentient and Lord relation",I.BOUNDARY=0.10000000;I.RELATION=0.40000000;K.SELF_MODEL=0.20000000;K.WORLD_MODEL=0.30000000,归一为整体内部的差异化依存结构。
visishtadvaita,限定不二论吠檀多,Viśiṣṭādvaita Vedanta,Indic,Vedanta,bhakti/prapatti,奉爱／归依,devotion and surrender,K.PRACTICE=0.30000000;P.COMMUNION=0.40000000;P.INTENTION=0.20000000;W.VALENCE=0.10000000,归一为实践、意图与关系实现路径。
visishtadvaita,限定不二论吠檀多,Viśiṣṭādvaita Vedanta,Indic,Vedanta,mokṣa,解脱,liberation,P.COMMUNION=0.30000000;P.CONTINUITY=0.10000000;P.LIBERATION=0.40000000;W.MEANING=0.20000000,归一为保持关系差异的解脱目的。
dvaita_vedanta,二元论吠檀多,Dvaita Vedanta,Indic,Vedanta,pañca-bheda,五种真实差异,five real differences,I.BOUNDARY=0.30000000;I.DIFFERENCE=0.50000000;K.WORLD_MODEL=0.20000000,归一为本体差异和主体—世界边界。
dvaita_vedanta,二元论吠檀多,Dvaita Vedanta,Indic,Vedanta,Viṣṇu,最高者,Supreme,K.REGULARITY=0.20000000;K.WORLD_MODEL=0.30000000;P.COMMUNION=0.30000000;W.NORM=0.20000000,归一为最高世界模型、规范源与关系目的。
dvaita_vedanta,二元论吠檀多,Dvaita Vedanta,Indic,Vedanta,jīva,个体灵魂,individual soul,I.BOUNDARY=0.30000000;K.SELF_MODEL=0.40000000;P.AGENCY=0.10000000;P.CONTINUITY=0.20000000,归一为持续而有限的主体模型。
dvaita_vedanta,二元论吠檀多,Dvaita Vedanta,Indic,Vedanta,bhakti,奉爱,devotion,K.PRACTICE=0.30000000;P.COMMUNION=0.30000000;P.INTENTION=0.20000000;W.VALENCE=0.20000000,归一为情感—实践—目的闭环。
samkhya_yoga,数论—瑜伽,Sāṃkhya–Yoga,Indic,Classical Indian philosophy,puruṣa,纯粹觉知者,witnessing consciousness,D.OBSERVATION=0.30000000;I.BOUNDARY=0.20000000;K.SELF_MODEL=0.40000000;P.LIBERATION=0.10000000,归一为见证性主体模型，不自动当作物理实体。
samkhya_yoga,数论—瑜伽,Sāṃkhya–Yoga,Indic,Classical Indian philosophy,prakṛti,自然／生成过程,nature and generative process,D.BODY=0.20000000;I.PATTERN=0.10000000;K.CAUSE=0.40000000;K.WORLD_MODEL=0.30000000,归一为物质—心理生成模型。
samkhya_yoga,数论—瑜伽,Sāṃkhya–Yoga,Indic,Classical Indian philosophy,citta-vṛtti,心识波动,modifications of mind,D.SENSATION=0.20000000;I.PATTERN=0.30000000;K.PRACTICE=0.30000000;K.SELF_MODEL=0.20000000,归一为可观察心理模式与训练对象。
samkhya_yoga,数论—瑜伽,Sāṃkhya–Yoga,Indic,Classical Indian philosophy,kaivalya,独存／解脱,liberation,I.DIFFERENCE=0.20000000;K.META=0.20000000;P.LIBERATION=0.50000000;P.VERIFICATION=0.10000000,归一为辨别完成的解脱目的。
gita_integrative_yoga,《薄伽梵歌》综合瑜伽,Bhagavad Gītā Integrative Yoga,Indic,Hindu synthesis,dharma,正法／职责／秩序,duty and right order,I.CONTEXT=0.20000000;P.HARMONY=0.30000000;W.CONSEQUENCE=0.20000000;W.NORM=0.30000000,归一为语境化规范、后果和秩序目的。
gita_integrative_yoga,《薄伽梵歌》综合瑜伽,Bhagavad Gītā Integrative Yoga,Indic,Hindu synthesis,karma-yoga,行动瑜伽,discipline of action,K.PRACTICE=0.30000000;P.AGENCY=0.30000000;P.VERIFICATION=0.20000000;W.TRADEOFF=0.20000000,归一为行动—后果—校准路径。
gita_integrative_yoga,《薄伽梵歌》综合瑜伽,Bhagavad Gītā Integrative Yoga,Indic,Hindu synthesis,jñāna,知识／辨识,knowledge,K.CONCEPT=0.20000000;K.META=0.30000000;K.SELF_MODEL=0.20000000;P.LIBERATION=0.30000000,归一为修正主体世界模型的解脱性知识。
gita_integrative_yoga,《薄伽梵歌》综合瑜伽,Bhagavad Gītā Integrative Yoga,Indic,Hindu synthesis,bhakti,奉爱,devotion,K.PRACTICE=0.20000000;P.COMMUNION=0.40000000;P.INTENTION=0.20000000;W.VALENCE=0.20000000,归一为价值感受、实践和关系目的。
